Wavelength,Intensity
1524.340176,0
1524.486804,15
1524.633431,14
1524.780059,5
1524.926686,16
1525.073314,5
1525.219941,0
1525.366569,0
1525.513196,0
1525.659824,16
1525.806452,43
1525.953079,22
1526.099707,22
1526.246334,31
1526.392962,0
1526.539589,31
1526.686217,12
1526.832845,39
1526.979472,20
1527.1261,20
1527.272727,37
1527.419355,29
1527.565982,34
1527.71261,9
1527.859238,12
1528.005865,8
1528.152493,9
1528.29912,23
1528.445748,1
1528.592375,4
1528.739003,10
1528.88563,6
1529.032258,11
1529.178886,0
1529.325513,18
1529.472141,0
1529.618768,9
1529.765396,2
1529.912023,13
1530.058651,22
1530.205279,9
1530.351906,16
1530.498534,0
1530.645161,15
1530.791789,0
1530.938416,0
1531.085044,18
1531.231672,1
1531.378299,0
1531.524927,0
1531.671554,0
1531.818182,11
1531.964809,8
1532.111437,13
1532.258065,0
1532.404692,0
1532.55132,0
1532.697947,3
1532.844575,0
1532.991202,0
1533.13783,15
1533.284457,0
1533.431085,2
1533.577713,6
1533.72434,0
1533.870968,23
1534.017595,0
1534.164223,11
1534.31085,3
1534.457478,5
1534.604106,0
1534.750733,5
1534.897361,17
1535.043988,0
1535.190616,19
1535.337243,21
1535.483871,12
1535.630499,13
1535.777126,0
1535.923754,10
1536.070381,26
1536.217009,6
1536.363636,13
1536.510264,14
1536.656891,21
1536.803519,10
1536.950147,25
1537.096774,18
1537.243402,13
1537.390029,29
1537.536657,0
1537.683284,2
1537.829912,4
1537.97654,11
1538.123167,33
1538.269795,25
1538.416422,11
1538.56305,3
1538.709677,0
1538.856305,22
1539.002933,11
1539.14956,9
1539.296188,13
1539.442815,16
1539.589443,18
1539.73607,14
1539.882698,2
1540.029326,2
1540.175953,2
1540.322581,0
1540.469208,13
1540.615836,0
1540.762463,13
1540.909091,0
1541.055718,26
1541.202346,27
1541.348974,26
1541.495601,29
1541.642229,30
1541.788856,12
1541.935484,13
1542.082111,26
1542.228739,14
1542.375367,1
1542.521994,21
1542.668622,29
1542.815249,17
1542.961877,32
1543.108504,1
1543.255132,33
1543.40176,27
1543.548387,17
1543.695015,9
1543.841642,11
1543.98827,6
1544.134897,14
1544.281525,18
1544.428152,0
1544.57478,22
1544.721408,9
1544.868035,15
1545.014663,17
1545.16129,27
1545.307918,10
1545.454545,17
1545.601173,42
1545.747801,26
1545.894428,14
1546.041056,14
1546.187683,9
1546.334311,20
1546.480938,21
1546.627566,33
1546.774194,51
1546.920821,35
1547.067449,87
1547.214076,53
1547.360704,138
1547.507331,208
1547.653959,302
1547.800587,503
1547.947214,681
1548.093842,1141
1548.240469,1486
1548.387097,2406
1548.533724,3567
1548.680352,4262
1548.826979,5774
1548.973607,6595
1549.120235,8046
1549.266862,9051
1549.41349,9400
1549.560117,9825
1549.706745,9845
1549.853372,9601
1550,8815
1550.146628,8375
1550.293255,7504
1550.439883,6576
1550.58651,6033
1550.733138,4972
1550.879765,4446
1551.026393,3462
1551.173021,2980
1551.319648,2250
1551.466276,1669
1551.612903,1436
1551.759531,1072
1551.906158,935
1552.052786,691
1552.199413,505
1552.346041,427
1552.492669,299
1552.639296,253
1552.785924,198
1552.932551,143
1553.079179,114
1553.225806,88
1553.372434,73
1553.519062,41
1553.665689,42
1553.812317,19
1553.958944,4
1554.105572,8
1554.252199,0
1554.398827,33
1554.545455,0
1554.692082,0
1554.83871,2
1554.985337,0
1555.131965,0
1555.278592,0
1555.42522,0
1555.571848,0
1555.718475,2
1555.865103,9
1556.01173,0
1556.158358,0
1556.304985,1
1556.451613,0
1556.59824,0
1556.744868,0
1556.891496,4
1557.038123,0
1557.184751,10
1557.331378,7
1557.478006,4
1557.624633,17
1557.771261,0
1557.917889,33
1558.064516,0
1558.211144,22
1558.357771,25
1558.504399,9
1558.651026,28
1558.797654,0
1558.944282,7
1559.090909,14
1559.237537,36
1559.384164,26
1559.530792,21
1559.677419,23
1559.824047,34
1559.970674,32
1560.117302,16
1560.26393,1
1560.410557,11
1560.557185,7
1560.703812,33
1560.85044,17
1560.997067,11
1561.143695,40
1561.290323,24
1561.43695,27
1561.583578,8
1561.730205,1
1561.876833,21
1562.02346,5
1562.170088,21
1562.316716,1
1562.463343,1
1562.609971,30
1562.756598,4
1562.903226,1
1563.049853,7
1563.196481,23
1563.343109,8
1563.489736,13
1563.636364,39
1563.782991,18
1563.929619,22
1564.076246,20
1564.222874,20
1564.369501,10
1564.516129,14
1564.662757,18
1564.809384,0
1564.956012,1
1565.102639,11
1565.249267,24
1565.395894,21
1565.542522,0
1565.68915,17
